,Agente1,Agente2,ClientesComun
278,21152,24924,3
279,14569,30621,3
280,15173,20718,3
281,16602,19323,3
282,6006,18804,3
283,11026,15873,3
284,8464,18156,3
285,16179,17817,3
286,1722,11462,3
287,15974,19710,3
288,13841,17416,3
289,8556,21311,3
290,2833,8506,3
291,14095,23944,3
292,16555,29054,3
293,18926,21905,3
294,18874,25957,3
295,22290,24828,3
296,4833,8410,3
297,21269,25272,3
298,19536,21572,3
299,20053,26740,3
300,19741,30621,3
301,5763,11026,3
302,6098,14801,3
303,17895,23790,3
304,10215,13823,3
305,16558,21270,3
306,6510,19003,3
307,10626,17416,3
308,18700,19711,3
309,10494,19416,3
310,14143,24924,3
311,16442,21603,3
312,15071,24397,3
313,6510,11018,3
314,15086,18356,3
315,18354,18804,3
316,6510,14292,3
317,2760,12611,3
318,13823,23771,3
319,12325,21465,3
320,17700,24975,3
321,14117,21064,3
322,3206,25491,3
323,7004,8843,3
324,1722,22047,3
325,8351,13773,3
326,19741,23944,3
327,9060,15169,3
328,14630,20920,3
329,7345,24861,3
330,21625,23944,3
331,18156,22807,3
332,18595,29054,3
333,1736,24828,3
334,9572,11350,3
335,3206,28788,3
336,16510,20552,3
337,8464,16558,3
338,2,21005,3
339,1736,11088,3
340,18851,25333,3
341,20095,22454,3
342,2050,24390,3
343,6135,7588,3
344,14506,30621,3
345,1736,10268,3
346,21624,24975,3
347,12752,14843,3
348,18023,24924,3
349,6527,21168,3
350,9915,20920,3
351,1163,15687,3
352,20515,24924,3
353,8464,18874,3
354,12274,24638,3
355,6098,29148,3
356,13455,17999,3
357,20768,26932,3
358,9060,28788,3
359,11207,17812,3
360,12967,17587,3
361,19144,27739,3
362,21543,29054,3
363,10241,21553,3
364,8556,18945,3
365,14402,22780,3
366,19731,24427,3
367,6569,22328,3
368,15768,26543,3
369,15086,15142,3
370,1610,20375,3
371,10608,24257,3
372,8506,24493,3
373,21127,28788,3
374,3206,24427,3
375,19741,23614,3
376,15140,27791,3
377,18219,24377,3
378,4833,21624,3
379,8605,18804,3
380,19731,25491,3
381,4885,18219,3
382,18623,23623,3
383,11166,13877,3
384,1089,18356,3
385,5763,21662,3
386,10342,20628,3
387,20397,26543,3
388,4017,16602,3
389,15169,18218,3
390,6098,19008,3
391,12189,24095,3
392,16783,18865,3
393,2820,26543,3
394,11026,20079,3
395,19536,30292,3
396,18536,26410,3
397,10662,11379,3
398,709,17725,3
399,16750,17278,3
400,8351,8579,3
401,4833,21625,3
402,18735,25291,3
403,8556,15086,3
404,28422,28861,2
405,4023,27219,2
406,14591,16389,2
407,9060,18156,2
408,11950,17278,2
409,14269,17286,2
410,6569,24428,2
411,11306,16542,2
412,23614,24390,2
413,14292,23623,2
414,24060,26645,2
415,17700,21625,2
416,20507,20734,2
417,11950,26959,2
418,15169,18156,2
419,22292,27070,2
420,10811,22721,2
421,21022,26740,2
422,19067,27905,2
423,10149,20428,2
424,11768,15511,2
425,24241,24492,2
426,16595,28788,2
427,18122,20508,2
428,10641,21059,2
429,16558,23361,2
430,3085,14959,2
431,10598,24523,2
432,18356,25252,2
433,11026,16682,2
434,15141,17084,2
435,21837,24555,2
436,14590,21127,2
437,14093,18804,2
438,21837,25957,2
439,15614,19119,2
440,25131,27625,2
441,20332,21662,2
442,5868,11500,2
443,14023,21099,2
444,22944,29054,2
445,21064,25076,2
446,11026,22835,2
447,12325,21213,2
448,3021,22543,2
449,11462,14940,2
450,16783,29054,2
451,10864,23462,2
452,22507,22590,2
453,12858,29873,2
454,25559,29853,2
455,17058,20761,2
456,5583,15275,2
457,6510,13326,2
458,11624,19537,2
459,10268,18700,2
460,22867,26354,2
461,19489,29054,2
462,21890,26644,2
463,16895,24492,2
464,474,23152,2
465,13052,22649,2
466,12390,22328,2
467,12824,21531,2
468,15772,20993,2
469,21133,22079,2
470,16442,24377,2
471,6060,18408,2
472,7728,24861,2
473,10678,23595,2
474,15194,23861,2
475,15168,24158,2
476,18639,25333,2
477,12535,19552,2
478,22337,26452,2
479,17278,23146,2
480,18199,20148,2
481,10876,25637,2
482,773,11413,2
483,16033,18731,2
484,10268,13276,2
485,12234,16868,2
486,24706,30351,2
487,15086,25333,2
488,7728,12036,2
489,22536,24518,2
490,17545,18865,2
491,7004,8410,2
492,13913,24066,2
493,21623,23906,2
494,23620,26993,2
495,11088,19536,2
496,18700,19730,2
497,16895,22564,2
498,8082,10638,2
499,18408,22346,2
500,3366,25465,2
501,14023,21553,2
502,17390,23128,2
503,1722,19254,2
504,18700,24095,2
505,21315,23254,2
506,19396,23273,2
507,8579,25637,2
508,13827,24804,2
509,4109,21662,2
510,18547,23854,2
511,11624,17395,2
512,17260,26327,2
513,24192,26829,2
514,9324,26740,2
515,15275,30292,2
516,1237,20163,2
517,13827,26434,2
518,9060,23361,2
519,912,22224,2
520,11026,25393,2
521,8556,10674,2
522,10681,14629,2
523,8288,10215,2
524,18804,20325,2
525,18735,23898,2
526,14571,17055,2
527,10913,15120,2
528,19552,23016,2
529,2908,19496,2
530,3432,25085,2
531,17769,20539,2
532,14320,14959,2
533,15169,23920,2
534,11950,21543,2
535,837,4401,2
536,23664,29410,2
537,8021,8404,2
538,17086,23623,2
539,14297,14567,2
540,23623,26155,2
541,6605,23623,2
542,4653,22085,2
543,1736,27247,2
544,10060,28861,2
545,23922,30351,2
546,15580,20711,2
547,11544,30215,2
548,4685,25910,2
549,7009,10676,2
550,18536,30439,2
551,16602,24706,2
552,11029,18874,2
553,9572,24492,2
554,13038,14971,2
555,24377,30873,2
556,15761,22848,2
557,19350,25910,2
558,20881,25330,2
559,4833,30621,2
560,2060,4266,2
561,23623,27247,2
562,10662,14590,2
563,7954,14135,2
564,19291,23886,2
565,11547,24377,2
566,1861,19640,2
567,4254,18735,2
568,16173,23867,2
569,10134,22337,2
570,22869,25561,2
571,18875,24377,2
572,4109,16442,2
573,23374,24676,2
574,18356,25637,2
575,20402,26543,2
576,13792,14801,2
577,16330,18808,2
578,17840,23944,2
579,1090,15323,2
580,17445,27032,2
581,14971,15511,2
582,4842,9233,2
583,14621,22430,2
584,11379,13285,2
585,17848,20728,2
586,14402,18466,2
587,14490,21185,2
588,13326,23623,2
589,11415,20768,2
590,3111,13500,2
591,4975,8322,2
592,16349,24030,2
593,5138,21738,2
594,18874,26200,2
595,6510,16898,2
596,7009,26645,2
597,18509,18683,2
598,25288,27625,2
599,19536,28861,2
600,21614,26756,2
601,16555,17278,2
602,23362,25330,2
603,4647,24457,2
604,13947,22454,2
605,1329,24377,2
606,11153,14106,2
607,12517,23669,2
608,13795,26160,2
609,223,20920,2
610,19923,22555,2
611,13586,23293,2
612,967,10898,2
613,4023,18356,2
614,13944,21419,2
615,23441,26740,2
616,18107,25163,2
617,4017,17700,2
618,18700,28476,2
619,26920,28788,2
620,20998,26931,2
621,21419,26347,2
622,19119,21905,2
623,8464,21270,2
624,23100,25823,2
625,16194,30621,2
626,4109,25288,2
627,23880,26657,2
628,21490,23528,2
629,21269,26644,2
630,6135,21543,2
631,18735,24220,2
632,20071,26959,2
633,23689,24502,2
634,22848,27852,2
635,18548,23623,2
636,12016,15398,2
637,24427,26644,2
638,19552,23153,2
639,2894,23543,2
640,12039,17058,2
641,8762,25303,2
642,15011,15085,2
643,2420,21111,2
644,14622,29054,2
645,19710,21118,2
646,8409,21890,2
647,15264,22656,2
648,12751,15633,2
649,13148,18356,2
650,21626,28006,2
651,14922,24505,2
652,23100,25076,2
653,20456,25428,2
654,23238,26244,2
655,15818,23867,2
656,15180,25637,2
657,19252,25393,2
658,13200,20510,2
659,20221,22811,2
660,18156,21269,2
661,1237,24130,2
662,10601,22069,2
663,7004,16602,2
664,22768,24241,2
665,4842,10678,2
666,13526,19348,2
667,13195,15119,2
668,15142,15677,2
669,14497,27365,2
670,15086,25241,2
671,10549,16256,2
672,2419,10917,2
673,22055,25637,2
674,15768,26267,2
675,6605,24095,2
676,7484,31249,2
677,20524,26824,2
678,21390,22047,2
679,21268,24377,2
680,20524,24377,2
681,2650,8763,2
682,21334,30829,2
683,6510,9869,2
684,11389,18356,2
685,19683,24518,2
686,15095,17052,2
687,18434,18865,2
688,12994,25393,2
689,2820,11026,2
690,9732,11026,2
691,21380,26558,2
692,10149,19683,2
693,8556,18332,2
694,21773,28110,2
695,9875,23788,2
696,8555,17016,2
697,4225,22653,2
